# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.979500000000000E+009;-1.274896413087845E-001;1.513543426990509E-001;
1.988000000000000E+009;-6.287435442209244E-002;1.221797615289688E-001;
1.996500000000000E+009;-4.989496618509293E-002;3.959532827138901E-002;
2.005000000000000E+009;-1.121538355946541E-001;-1.043383870273829E-002;
2.013500000000000E+009;-1.890240311622620E-001;5.509676411747932E-003;
2.022000000000000E+009;-2.228116244077683E-001;7.473411411046982E-002;
2.030500000000000E+009;-2.035517990589142E-001;1.422522962093353E-001;
2.039000000000000E+009;-1.429522931575775E-001;1.827675402164459E-001;
2.047500000000000E+009;-7.339823246002197E-002;1.678073853254318E-001;
2.056000000000000E+009;-3.456809371709824E-002;1.134988293051720E-001;
2.064500000000000E+009;-4.382002726197243E-002;5.066664144396782E-002;
2.073000000000000E+009;-9.223964065313339E-002;1.421710010617971E-002;
2.081500000000000E+009;-1.483478695154190E-001;2.477108314633369E-002;
2.090000000000000E+009;-1.858167201280594E-001;6.363670527935028E-002;
2.098500000000000E+009;-1.817755550146103E-001;1.241610348224640E-001;
2.107000000000000E+009;-1.363260596990585E-001;1.586306393146515E-001;
2.115500000000000E+009;-7.535307854413986E-002;1.476003974676132E-001;
2.124000000000000E+009;-5.877450853586197E-002;8.311422914266586E-002;
2.132500000000000E+009;-1.115272641181946E-001;4.307750239968300E-002;
2.141000000000000E+009;-1.706774085760117E-001;8.107700943946838E-002;
2.149500000000000E+009;-1.553961634635925E-001;1.518047153949738E-001;
2.158000000000000E+009;-9.169287234544754E-002;1.644157916307449E-001;
2.166500000000000E+009;-5.512898787856102E-002;1.239715442061424E-001;
2.175000000000000E+009;-6.994740664958954E-002;7.618020474910736E-002;
2.183500000000000E+009;-1.133263856172562E-001;6.923428922891617E-002;
2.192000000000000E+009;-1.390656679868698E-001;1.039964705705643E-001;
2.200500000000000E+009;-1.236361339688301E-001;1.418536156415939E-001;
2.209000000000000E+009;-8.564784377813339E-002;1.499397903680801E-001;
2.217500000000000E+009;-5.231348052620888E-002;1.320766806602478E-001;
2.226000000000000E+009;-4.287558048963547E-002;8.482664078474045E-002;
2.234500000000000E+009;-8.206038922071457E-002;5.271372944116592E-002;
2.243000000000000E+009;-1.261231750249863E-001;6.049471348524094E-002;
2.251500000000000E+009;-1.542707532644272E-001;1.001740917563438E-001;
2.260000000000000E+009;-1.419965326786041E-001;1.496124416589737E-001;
2.268500000000000E+009;-9.732930362224579E-002;1.716609299182892E-001;
2.277000000000000E+009;-5.097960308194161E-002;1.565254628658295E-001;
2.285500000000000E+009;-3.297259286046028E-002;1.059208512306213E-001;
2.294000000000000E+009;-6.633537262678146E-002;6.665017455816269E-002;
2.302500000000000E+009;-1.080013439059258E-001;6.585337221622467E-002;
2.311000000000000E+009;-1.482364684343338E-001;9.771647304296494E-002;
